,name,seed,n_samples,_step,_wandb,_runtime,_timestamp,temporal test auc,same-time test auc
0,362259samples_seed42,42,362259,0,{'runtime': 714},713,1664242911,0.7451226580035225,0.7573897481598618
1,100000samples_seed42,42,100000,0,{'runtime': 238},237,1664242178,0.7444371758508119,0.756404389228338
2,10000samples_seed42,42,10000,0,{'runtime': 84},84,1664241926,0.7395422572998743,0.7523651453823372
3,362259samples_seed36,36,362259,0,{'runtime': 850},851,1664241808,0.7453568008967204,0.7577135522562577
4,100000samples_seed36,36,100000,0,{'runtime': 277},277,1664240938,0.7446373961848196,0.756547145340262
5,10000samples_seed36,36,10000,0,{'runtime': 95},96,1664240647,0.7364789955331843,0.7497201795001426
6,362259samples_seed21,21,362259,0,{'runtime': 753},752,1664240532,0.7449763839977189,0.7574435957059321
7,100000samples_seed21,21,100000,0,{'runtime': 272},272,1664239763,0.7445945612520587,0.7557870200779259
8,10000samples_seed21,21,10000,0,{'runtime': 101},101,1664239476,0.7405289932997973,0.7505668291994517
9,362259samples_seed13,13,362259,0,{'runtime': 938},938,1664239355,0.7452184968265424,0.7578719586905979
10,100000samples_seed13,13,100000,0,{'runtime': 302},302,1664238400,0.7449342224828636,0.7573647224808497
11,10000samples_seed13,13,10000,0,{'runtime': 105},107,1664238082,0.738867964645199,0.7496508939521466
12,362259samples_seed0,0,362259,0,{'runtime': 598},598,1664237952,0.745056210053735,0.7576519665236381
13,100000samples_seed0,0,100000,0,{'runtime': 237},237,1664237338,0.7449498308520013,0.7563147848652143
14,10000samples_seed0,0,10000,0,{'runtime': 82},82,1664237086,0.740213262703227,0.7504095099483457
15,1000samples_seed42,42,1000,0,{'runtime': 70},69,1664236989,0.7328635970371667,0.7427874857300166
16,100samples_seed42,42,100,0,{'runtime': 70},69,1664236905,0.6335118079386585,0.6492784950674523
17,1000samples_seed36,36,1000,0,{'runtime': 76},76,1664236820,0.7286432957005654,0.7417541884130598
18,100samples_seed36,36,100,0,{'runtime': 74},73,1664236723,0.7211372460820511,0.7289223795783664
19,1000samples_seed21,21,1000,0,{'runtime': 78},78,1664236635,0.7221003812142397,0.7347687777674272
20,100samples_seed21,21,100,0,{'runtime': 73},73,1664236541,0.6963810257937524,0.7034584224704209
21,1000samples_seed13,13,1000,0,{'runtime': 78},78,1664236453,0.7342503484798814,0.7454416402290991
22,100samples_seed13,13,100,0,{'runtime': 80},79,1664236360,0.6927108044848854,0.7060885540571449
23,1000samples_seed0,0,1000,0,{'runtime': 70},70,1664236266,0.7194755995491681,0.7293702760481531
24,100samples_seed0,0,100,0,{'runtime': 73},73,1664236180,0.5859740647047972,0.58605077553973
